昆明机场飞行动态,,,,,
,,,,,2017年06月30日
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
1,3U8033,B8326,昆明/0655,/,丽江
2,3U8034,B8326,丽江/0855,/,昆明
3,3U8107,B1661,昆明/1405,/,常州
4,3U8108,B1661,常州/2235,/,昆明
5,3U8129,B6449,昆明/0925,/,版纳
6,3U8130,B6449,版纳/1105,/,昆明
7,3U8201,B8500,昆明/1610,/,上海
8,3U8202,B8500,上海/2025,/,昆明
9,3U8205,B8326,昆明/1700,/,广州
10,3U8221,B1881,昆明/1155,/,南宁
11,3U8222,B1881,南宁/1935,/,昆明
12,3U8259,B1819,昆明/1120,/,南京
13,3U8260,B1819,南京/1510,/,昆明
14,3U8513,B1665,昆明/0715,/,重庆
15,3U8514,B1665,重庆/1545,/,昆明
16,3U8527,B6772,昆明/2320,/,西安
17,3U8528,B6772,西安/1950,/,昆明
18,3U8529,B1821,杭州/0900,/,昆明
19,3U8530,B1821,昆明/1305,/,杭州
20,3U8553,B6719,昆明/0845,/,重庆
21,3U8554,B6719,重庆/2235,/,昆明
22,3U8638,B1661,广州/0615,/,昆明
23,3U8661,B1819,成都/0720,/,昆明
24,3U8662,B6325,昆明/2300,/,成都
25,3U8667,B1665,成都/2200,/,昆明
26,3U8668,B1665,昆明/1830,/,成都
27,3U8669,B6778,昆明/0730,/,成都
28,3U8670,B6778,成都/1720,/,昆明
29,3U8761,B8329,昆明/1510,/,无锡
30,3U8762,B8329,无锡/1925,/,昆明
31,3U8767,B1822,昆明/0700,/,南宁
32,3U8768,B1822,南宁/1440,/,昆明
33,3U8817,B6433,昆明/0730,/,丽江
34,3U8818,B6433,丽江/1510,/,昆明
35,3U8823,B6778,昆明/2000,/,南昌
36,3U8824,B6778,南昌/2305,/,昆明
37,3U8837,B8656,昆明/1415,/,万州
38,3U8838,B8656,万州/1140,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
39,3U8847,B6953,昆明/0750,/,郑州
40,3U8848,B6953,郑州/1905,/,昆明
41,3U8853,B6810,昆明/1615,/,徐州
42,3U8854,B6810,徐州/1205,/,昆明
43,3U8865,B8500,昆明/0720,/,宁波
44,3U8866,B8500,宁波/1110,/,昆明
45,3U8901,B1822,昆明/1710,/,珠海
46,3U8902,B1822,珠海/1945,/,昆明
47,3U8917,B6732,昆明/0625,/,厦门
48,3U8918,B6732,厦门/1005,/,昆明
49,3U8929,B6325,昆明/0805,/,长沙
50,3U8930,B6325,长沙/1855,/,昆明
51,3U8947,B8329,昆明/0655,/,济南
